Estacion,Serie,Lag,ACF,Confianza_95,Confianza_sup,Confianza_inf,N
Calamar,Calamar,157,0.16652825202863686,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,158,0.1693409240855209,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,159,0.1720193230477808,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,160,0.17456043619169218,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,161,0.17696292359259205,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,162,0.17922308064075956,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,163,0.18133624433803797,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,164,0.18330183981955203,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,165,0.1851166995140162,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,166,0.18676963292298945,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,167,0.18824994385807828,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,168,0.18955623290856616,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,169,0.19067939077629587,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,170,0.19161359310807574,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,171,0.19235453245348166,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,172,0.19290303404511733,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,173,0.19325174468713316,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,174,0.193392268039797,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,175,0.19333061864828102,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,176,0.19306689118315778,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,177,0.19260507742113323,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,178,0.19194792474776745,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,179,0.19109527837786486,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,180,0.190045716624035,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,181,0.18879826816083667,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,182,0.18735015490012116,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,183,0.18569738319935136,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,184,0.18384154676944342,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,185,0.18179135352153783,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,186,0.17954964578731825,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,187,0.1771143455529016,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,188,0.17448823141198067,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,189,0.1716758968224379,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,190,0.16867874213950498,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,191,0.16550091664550526,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,192,0.16215137455067827,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,193,0.15863839133015445,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,194,0.15496686104674798,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,195,0.1511399331013623,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,196,0.1471619779321151,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,197,0.14303984423272675,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,198,0.13877616104875098,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,199,0.13438206492532973,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,200,0.12986047988641422,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,201,0.12522550913513722,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,202,0.120485339626852,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,203,0.11564151303006365,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,204,0.11068316383190446,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,205,0.105611465776219,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,206,0.10042614245163535,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,207,0.09512865197897195,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,208,0.08972057640051442,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,209,0.08421279853834787,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,210,0.07860986370932989,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,211,0.07291277980916343,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,212,0.06713382009562141,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,213,0.06128273014896837,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,214,0.055372255726165075,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,215,0.049413367802207876,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,216,0.04342703375684405,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,217,0.03742784987281839,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,218,0.03142493213479435,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,219,0.025430811065961238,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,220,0.01945728115009487,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,221,0.013506605108027779,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,222,0.007595697938963448,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,223,0.0017302301740027752,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,224,-0.004086629962620884,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,225,-0.009837077941893058,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,226,-0.015513645948560957,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,227,-0.021111744081449644,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,228,-0.026619176605466126,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,229,-0.03203107930120234,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,230,-0.03733399841660563,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,231,-0.042511933148438104,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,232,-0.04755938049943886,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,233,-0.05246753953691435,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,234,-0.05723681940475309,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,235,-0.06186302704323336,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,236,-0.06633962226288996,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,237,-0.07066327564897452,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,238,-0.07482611646521474,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,239,-0.07881855457863551,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,240,-0.08263668777191087,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,241,-0.08628145746910709,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,242,-0.089755618485344,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,243,-0.09306021220541225,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
